,name,category,star,star_count,review,address,lat,lng
0,교대곱창,"곱창,막창",3.0,159건,161,서울 서초구 서초중앙로 77,37.488679037366,127.01425177756
1,탐라도야지,"육류,고기",4.0,70건,220,서울 서초구 서초대로50길 82,37.489595083163,127.013561182941
2,장꼬방,"찌개,전골",3.2,299건,122,서울 서초구 효령로 364,37.4868928106781,127.023662920981
3,해담채 남부터미널점,"해물,생선",3.1,10건,47,서울 서초구 서초중앙로5길 10-8 쁘띠오피스텔 지하1층,37.4858654442726,127.015099594605
4,카페로비,디저트카페,3.9,15건,127,서울 서초구 반포대로20길 53 1층,37.4885347740802,127.012780905228
5,감격시대,"육류,고기",3.0,24건,134,서울 서초구 서초대로50길 104,37.4885454809991,127.013718729127
6,진대감 교대점,"육류,고기",2.9,18건,86,서울 서초구 서초대로50길 62-9,37.4903603599353,127.013109586323
7,사람사는 고깃집 김일도 서초점,"육류,고기",3.9,8건,105,서울 서초구 효령로55길 39 호텔센트로 1층,37.486578275487,127.014014385044
8,거북곱창,"곱창,막창",3.3,131건,64,서울 서초구 서초대로50길 94 1층,37.4890335646337,127.013652331411
9,우작설렁탕,설렁탕,3.7,106건,58,서울 서초구 서초중앙로6길 7 홍빌딩 지하1층,37.4861980516193,127.016121351333
10,그림나베 남부터미널점,일식,3.7,21건,81,"서울 서초구 서초중앙로 42 블루핀 타워 112,113호",37.4858656509843,127.016257753357
11,진대감 서초점,"육류,고기",4.5,2건,31,서울 서초구 효령로55길 39 센트로호텔 1층,37.486578275487,127.014014385044
12,교대수산 교대점,회,3.8,10건,35,서울 서초구 사임당로 85,37.4898853490328,127.019062868873
13,육통령,"육류,고기",2.4,10건,62,서울 서초구 반포대로20길 69,37.4887950669684,127.013660090025
14,레몬그라스타이,태국음식,4.0,6건,70,서울 서초구 효령로68길 67,37.4853601014751,127.021317868884
15,캔프치킨,치킨,4.2,16건,20,서울 서초구 반포대로24길 96 구산빌딩 1층,37.4888282723171,127.014017292973
16,화포식당 교대점,"육류,고기",3.4,17건,89,서울 서초구 서초대로46길 106,37.4900047429788,127.013806176476
17,세광양대창 교대별관,"곱창,막창",4.9,32건,29,서울 서초구 서초대로46길 99 2층,37.4901744397779,127.01348530141
18,도담,"떡,한과",3.8,10건,25,서울 서초구 효령로61길 14-13,37.4869513916894,127.01964567733
19,송쉐프 르쁘띠,중화요리,4.3,4건,18,서울 서초구 반포대로24길 95 1층,37.4891105523448,127.01406540183
20,더브레드블루 서초점,"제과,베이커리",4.1,8건,52,서울 서초구 서초중앙로8길 17 1층,37.4867883623402,127.01633857201
21,ttt커피 비씨카드점,카페,2.0,4건,42,서울 서초구 효령로 275 1층,37.4849697732269,127.014200758137
22,군자대한곱창 교대점,"곱창,막창",5.0,5건,40,서울 서초구 서초대로50길 76 1층,37.4898121370017,127.013551723943
23,항방양육관 교대2호점,양꼬치,3.6,23건,35,서울 서초구 서초대로50길 93 동명빌딩 2층,37.4890669600581,127.013926200625
24,송가옥,"육류,고기",4.6,7건,15,서울 서초구 반포대로20길 57 한송빌딩 지하 1층,37.488580801863,127.012907101872
25,형제들감자탕 교대점,감자탕,3.4,5건,26,서울 서초구 서초대로50길 63 1층,37.4904511963986,127.013770639952
