name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS,link,new_category,walking_time
시골집,쌈밥,서울 서초구 반포대로10길 7,4.3,27,23,37.4837370520536,127.012245063852,803.823780204322,57.25,https://place.map.kakao.com/16046732,"백반, 한정식",10.0
순남시래기 양재점,한정식,서초동 1363-25,4.0,18,48,37.485600700000006,127.0316652,975.8762608640704,47.47,https://place.map.kakao.com/26890199,"백반, 한정식",12.0
남도랑,한정식,역삼동 830-22,3.9,16,2,37.4941052,127.03214799999999,1319.9631733565961,42.9,https://place.map.kakao.com/10188823,"백반, 한정식",16.0
고등어식당,한식,역삼동 824-25,4.5,10,1,37.497514,127.0310602,1530.3251165237484,40.9,https://place.map.kakao.com/16270601,"백반, 한정식",18.0
남도미락,한식,서초동 1706-12,4.0,12,8,37.49353789999999,127.00915149999999,1282.308597971381,40.13,https://place.map.kakao.com/8873906,"백반, 한정식",15.0
미래옥,한정식,역삼동 831-48,4.1,9,6,37.49426649999999,127.0307188,1238.2725265750487,36.35,https://place.map.kakao.com/1311412332,"백반, 한정식",15.0
제나식당,한정식,역삼동 832-33,4.6,7,5,37.4923487,127.0319943,1192.790686651486,36.03,https://place.map.kakao.com/26551835,"백반, 한정식",14.0
고불초쌈밥 강남본점,쌈밥,역삼동 836-79,4.4,7,2,37.49219179999999,127.03407140000002,1341.7803123179515,34.1,https://place.map.kakao.com/27474376,"백반, 한정식",16.0
장터,한식,역삼동 648-23,5.0,5,3,37.499516,127.0313815,1729.0472486560927,32.26,https://place.map.kakao.com/16083041,"백반, 한정식",21.0
꽃보다라면,분식,서초동 1337-14,4.6,14,10,37.49219470000001,127.0290425,973.5739405411994,48.85,https://place.map.kakao.com/16067548,"떡볶이,분식",12.0
우리집김밥 서초점,분식,서초동 1330-11,5.0,10,7,37.4929498,127.02892759999999,1022.9252389726712,46.21,https://place.map.kakao.com/18508239,"떡볶이,분식",12.0
고봉민김밥인 강남아르누보씨티점,분식,서초동 1330-4,4.2,15,1,37.4933757,127.02812479999999,1009.1022761944713,44.85,https://place.map.kakao.com/25085187,"떡볶이,분식",12.0
얌얌 양재점,분식,도곡동 919-7,3.9,15,10,37.485775200000006,127.0378017,1514.339485346573,42.68,https://place.map.kakao.com/22837365,"떡볶이,분식",18.0
광해즉석떡볶이,떡볶이,서초동 1716-10,4.0,11,86,37.4933303,127.01168059999999,1097.8339920373362,40.11,https://place.map.kakao.com/355548230,"떡볶이,분식",13.0
로라방앗간 강남역삼점,떡볶이,역삼동 837-14,3.7,10,12,37.49169379999999,127.0320185,1156.539753243009,34.8,https://place.map.kakao.com/1800401194,"떡볶이,분식",14.0
지우네,떡볶이,역삼동 838-4,3.9,8,119,37.490252399999996,127.0324906,1123.963737554085,34.51,https://place.map.kakao.com/186040653,"떡볶이,분식",14.0
모범떡볶이1976 양재점,떡볶이,서초동 1363-6,3.9,8,18,37.48493870000001,127.03212830000001,1026.3787749539172,33.42,https://place.map.kakao.com/1667889902,"떡볶이,분식",12.0
