name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS
크래프트아일랜드 강남역점,"호프,요리주점",서초동 1317-32,4.8,173,292,37.4984782,127.0255967,1401.4505831593167,100.0
크래버 대게나라 서초점,"게,대게",서초동 1582-16,4.8,166,101,37.4866596,127.0108028,870.1790204306703,98.6
미즈컨테이너 강남웨스트점,양식,서초동 1316-29,3.4,603,354,37.4982696,127.0252148,1369.1627230494332,88.51
영동족발 3호점,"족발,보쌈",양재동 1-8,3.5,410,105,37.48417999999999,127.0383095,1578.2164826115668,85.02
마키노차야 역삼점,해산물뷔페,역삼동 824-46,3.6,322,210,37.498140299999996,127.0310713,1587.1819763812937,84.38
농민백암왕순대,순대,역삼동 830-9,4.5,84,147,37.49487910000001,127.03147870000001,1333.8271720334706,80.85
세광양대창 교대본점 본관,"곱창,막창",서초동 1571-19,4.7,63,151,37.491969899999994,127.0125692,938.1724961192892,79.05
유타로 강남점,일본식라면,서초동 1330-6,3.8,133,138,37.49303010000001,127.02839159999999,996.2611301065933,75.52
프리모바치오바치 강남점,이탈리안,역삼동 816-3,3.4,220,316,37.4997597,127.02714409999999,1581.6134431931075,75.05
장꼬방,"찌개,전골",서초동 1438-8,3.2,299,124,37.486853,127.0236479,266.30771305137864,74.12
갓덴스시 강남점,"초밥,롤",역삼동 822-4,3.5,177,218,37.4987872,127.02897859999999,1550.9867500179273,73.96
백년옥 본관,두부전문점,서초동 1450-6,3.3,232,329,37.4811511,127.01376880000001,850.6106061775723,73.65
임병주산동손칼국수,국수,서초2동 1365,3.3,216,361,37.48453370000001,127.02998970000002,851.4259603016177,72.78
요멘야고에몬 강남점,퓨전일식,서초동 1317-13,3.3,207,770,37.498416799999994,127.02634950000001,1417.0924951656484,72.68
딘타이펑 강남점,중화요리,서초동 1317-31,3.4,181,235,37.4985126,127.0257229,1408.575986468607,72.28
아이해브어드림,"호프,요리주점",역삼동 819-5,3.3,200,210,37.499233600000004,127.0292477,1605.9511306025595,71.47
크라이치즈버거 양재역점,햄버거,서초동 1358-8,4.2,63,153,37.487231799999996,127.0319054,995.2953472619532,70.96
을밀대 강남점,냉면,역삼동 826-37,3.4,158,205,37.495332299999994,127.03037250000001,1303.3870354971775,70.4
봉피양 서초점,한식,서초동 1330,3.4,163,59,37.4939235,127.02789950000002,1043.7359112227268,70.08
우작설렁탕,설렁탕,서초동 1621-5,3.7,106,57,37.486157,127.0161081,403.6778693906185,69.81
라그릴리아 SPC스퀘어점,이탈리안,역삼동 831-23,3.7,101,186,37.4943377,127.02984369999999,1189.9663550966384,69.8
탐라도야지,"육류,고기",서초3동 1566-8,4.0,70,220,37.489555100000004,127.01354520000001,714.1106084248872,69.58
진도집,"해물,생선",서초동 1694-14,4.6,41,86,37.494845399999996,127.0139981,1098.7795990859356,69.38
이여곰탕,곰탕,서초동 1555-9,4.3,52,94,37.49179609999999,127.01085379999999,1046.944678235479,69.07
루엘드파리,"제과,베이커리",서초동 1445-13,3.9,72,267,37.4840138,127.0173415,402.7329472790899,68.46
서귀포 오분작전복뚝배기,"굴,전복",서초동 1555-2,3.5,128,29,37.4917862,127.0103281,1085.003851569624,68.36
세광양대창 교대별관,"곱창,막창",서초동 1567-8,4.9,32,29,37.4901348,127.0134732,752.2961730369137,68.36
아쭈,"해물,생선",역삼동 819-2,4.6,38,99,37.499309499999995,127.028826,1596.2708701683148,68.09
들름집,국수,서초동 1330-11,3.7,95,44,37.4929498,127.02892759999999,1022.9252389726712,68.08
샘밭막국수 서초점,국수,서초동 1685-8,3.4,139,70,37.4954141,127.0164028,1060.2843079264644,68.07
구스아일랜드 브루하우스,양식,역삼동 833-1,3.7,88,291,37.4933881,127.0322771,1279.4476692843646,68.07
우동명가 기리야마본진,"돈까스,우동",역삼동 824-11,3.8,82,51,37.4970921,127.03037240000002,1456.5450759582845,67.76
자인뭉티기,"육류,고기",서초동 1363-7,4.1,60,22,37.4851322,127.03211,1021.365821406152,67.44
친친,중화요리,서초동 1574-14,3.9,69,96,37.4923958,127.0136153,903.7342060908935,67.22
교대이층집 본점,"육류,고기",서초동 1571-18,3.6,94,222,37.49204659999999,127.0128023,928.260707130686,67.09
버드나무집 서초본점,"육류,고기",서초2동 1340-5,3.2,169,72,37.489066799999996,127.0311919,971.901486118816,66.67
장인닭갈비 강남점,닭요리,역삼동 820-1,3.4,114,555,37.499566200000004,127.02750619999999,1573.5507022388604,66.64
육전식당 4호점,"육류,고기",역삼동 823-10,3.9,64,233,37.4979875,127.03199609999999,1622.3291068343356,66.59
버터핑거팬케이크 강남점,양식,서초동 1317-1,3.0,219,257,37.4988446,127.0255489,1438.9638289448412,66.44
봉산옥 서초동본점,국수,서초3동 1451-9,3.7,79,146,37.4833062,127.01245149999998,806.7970113975508,66.11
카페마마스 강남역점,카페,서초동 1321-6,3.2,154,143,37.4959396,127.02522590000001,1124.3974502606995,65.91
쿠차라 삼성서초사옥점,"멕시칸,브라질",서초동 1320-10,3.7,76,227,37.4966085,127.0269023,1251.7719241952968,65.81
거북곱창,"곱창,막창",서초동 1565-8,3.3,131,64,37.488994500000004,127.0136386,679.1020696924975,65.32
황재벌,장어,서초동 1360-47,3.5,93,142,37.486088099999996,127.0314328,951.3461638001428,64.91
레프레미스,"제과,베이커리",서초동 1430-1,4.1,48,93,37.4843123,127.02062690000001,243.05995885443556,64.69
교대갈비집,갈비,서초동 1574-6,4.1,48,89,37.492158,127.01318870000001,911.580728947818,64.67
풍국면 강남직영점,국수,역삼동 823-14,4.3,38,295,37.497554,127.03198929999999,1584.2712976172186,64.47
강남곱,"곱창,막창",역삼동 830-31,4.0,49,241,37.4943264,127.0315413,1295.724099331864,64.06
양재닭집,치킨,양재동 1-7,3.1,157,93,37.484274400000004,127.0379522,1545.407156542274,63.92
작은공간,분식,도곡동 950-5,3.7,67,144,37.486795799999996,127.035552,1314.1148671150775,63.72
왓쇼이켄,일본식라면,역삼동 826-37,4.3,38,73,37.495332299999994,127.03037250000001,1303.3870354971775,63.65
붓처스컷 강남점,"스테이크,립",역삼동 826-14,3.9,55,79,37.4950229,127.02978390000001,1243.4373114928653,63.65
더부스 강남점,"호프,요리주점",서초동 1330,3.7,70,41,37.4939235,127.02789950000002,1043.7359112227268,63.62
김영모과자점 서초동성당점,"제과,베이커리",서초동 1635-1,4.0,51,38,37.4937552,127.0213777,809.4248549470036,63.61
길버트버거앤프라이즈 서초점,햄버거,서초동 1545-5,3.8,61,65,37.4879067,127.01026170000002,931.0005552515963,63.51
아카사카,일식,서초동 1327,4.5,33,17,37.4955719,127.02707520000001,1156.7542018361114,63.18
서관면옥,냉면,서초동 1675-5,3.9,51,233,37.493953499999996,127.0172588,881.7450911905032,63.13
블루밍가든 강남점,이탈리안,역삼동 826-14,3.9,53,74,37.4950229,127.02978390000001,1243.4373114928653,63.05
산들해 양재동점,한정식,양재동 24,3.3,111,32,37.482717,127.03492150000001,1326.4911508760745,62.79
서초남순남순대국 본점,순대,도곡동 945-2,3.4,95,39,37.4891429,127.0334412,1165.1658873764065,62.67
뽕사부 교대점,중화요리,서초동 1572-2,4.1,42,78,37.4925788,127.01136029999999,1063.4147399171786,62.45
교대곱창,"곱창,막창",서초동 1578-3,3.0,159,161,37.488640000000004,127.01423799999999,614.8920347060223,62.41
창고43 강남점,"육류,고기",역삼동 826-20,3.7,61,118,37.49526760000001,127.02940420000002,1243.2480893752488,62.25
3대삼계장인,삼계탕,서초동 1557-17,4.1,38,723,37.4913044,127.01154220000001,966.034991750866,62.15
프릳츠 양재점,카페,서초동 1363-10,3.6,64,481,37.485331099999996,127.03218319999999,1024.7171616089354,62.14
소들녘 서초점,갈비,서초동 1485-5,4.3,33,110,37.4833081,127.0096598,1033.6307502993498,61.52
로리스더프라임립,"스테이크,립",서초동 1317-28,3.6,63,198,37.4980823,127.0257748,1364.7862717448634,61.4
소호정 강남점,국수,서초동 1327-2,3.5,75,39,37.4957685,127.0275363,1195.9750984541565,61.22
버블티웍스,카페,역삼동 825-20,4.3,33,50,37.497717200000004,127.02914740000001,1454.8638585586655,61.06
나인로드피제리아 서울서초점,피자,서초동 1316-30,3.4,74,266,37.49841139999999,127.02503659999999,1379.7652414146853,60.47
마녀주방 강남점,이탈리안,역삼동 818-14,3.3,80,678,37.4994466,127.02808459999999,1581.7113645285608,60.34
제레미버거,햄버거,도곡동 959-21,4.1,36,87,37.4855581,127.0372527,1467.4934900785086,60.05
미나미,일식,서초동 1668-7,3.2,96,104,37.493301,127.0181087,789.3164574140932,59.81
에머이 강남점,베트남음식,역삼동 826-26,3.6,55,263,37.49645570000001,127.0296885,1363.8473124463044,59.65
호남마을,"육류,고기",역삼동 829-13,3.9,41,98,37.4943071,127.03346850000001,1424.945187398669,59.3
가츠오,"돈까스,우동",서초동 1658-17,4.1,33,176,37.4923644,127.01524979999999,808.4676844362955,59.06
디 안다만,동남아음식,양재동 1-26,3.9,42,29,37.4848385,127.03906090000002,1633.7731065712305,58.96
코치 찰리,테마카페,서초동 1315,5.0,20,1,37.4972188,127.02267830000001,1205.2870447374346,58.94
뉴욕버거엔베이글,햄버거,역삼동 827-37,3.8,43,128,37.49652570000001,127.0310831,1445.1538034065939,58.71
