name,category,address,score,eval_cnt,review_cnt
루엘드파리,"제과,베이커리",서초동 1445-13,3.9,72,267
봉산옥 서초동본점,국수,서초3동 1451-9,3.7,79,146
장꼬방,"찌개,전골",서초동 1438-8,3.2,299,124
해담채 남부터미널점,"해물,생선",서초동 1600-9,3.1,10,47
카페로비,디저트카페,서초동 1564-4,3.9,15,126
감격시대,"육류,고기",서초동 1579-4,2.9,22,135
사람사는 고깃집 김일도 서초점,"육류,고기",서초동 1594-3,3.9,8,105
아이비스타 서초점,뷔페,서초동 1451-34,3.4,8,47
하오차이,중화요리,서초동 1459-8,3.4,29,66
우작설렁탕,설렁탕,서초동 1621-5,3.7,106,57
그림나베 남부터미널점,일식,서초동 1603-1,3.7,21,81
진대감 서초점,"육류,고기",서초동 1594-3,4.5,2,29
요요마의키친,이탈리안,서초동 1451-38,3.4,36,274
레몬그라스타이,태국음식,서초동 1442-9,4.0,6,68
레프레미스,"제과,베이커리",서초동 1430-1,4.1,48,93
선궁,중화요리,서초동 1451-34,3.9,20,36
곰포차,실내포장마차,서초동 1459-9,3.1,13,62
노브랜드버거 남부터미널점,햄버거,서초동 1446-1,4.0,5,32
도담,"떡,한과",서초동 1604-6,3.8,10,25
더브레드블루 서초점,"제과,베이커리",서초동 1622-6,4.1,8,51
ttt커피 비씨카드점,카페,서초동 1587,2.0,4,41
부일갈비 본점,갈비,서초동 1427-6,4.3,7,52
우면산버드나무집,"육류,고기",서초동 1425-13,3.4,35,8
송가옥,"육류,고기",서초동 1564-7,4.6,7,15
천지궁 서초점,중화요리,서초동 1589-8,3.5,28,23
마구로센 남부터미널점,참치회,서초동 1588-2,3.3,9,37
늘푸름홍천한우 서초점,"육류,고기",서초동 1595-8,3.7,4,75
뱅스시,"초밥,롤",서초동 1458-6,4.4,12,71
든든한우가,"육류,고기",서초동 1591-9,4.1,8,88
굴뚝집 남부터미널점,"육류,고기",서초동 1589-13,3.6,8,115
스시환,"초밥,롤",서초동 1603-20,2.8,22,39
레트로카페트레이더,테마카페,서초동 1443-5,3.6,9,33
흑돼지삼백식당 서초점,"육류,고기",서초동 1588-3,2.9,9,57
서초명가 서초본점,"해물,생선",서초동 1601-1,4.5,4,41
만다린,중화요리,서초동 1431-9,3.4,8,91
나주곰탕 서초본점,곰탕,서초동 1585-18,3.6,43,34
강촌식당 서초점,닭요리,서초동 1443-4,3.4,5,51
매드포갈릭 예술의전당점,패밀리레스토랑,서초동 1451-34,3.5,25,57
705사케집 교대점,일본식주점,서초동 1597-1,3.0,4,26
스시36.5,"초밥,롤",서초동 1603-69,5.0,7,34
생활맥주 남부터미널점,"호프,요리주점",서초동 1588-8,4.0,5,15
스타벅스 남부터미널2점,커피전문점,서초동 1457-1,3.6,5,7
함평한우정육식당 서초본점,"육류,고기",서초동 1595-6,3.5,4,5
정순화청국장 서초본점,한식,서초동 1438-18,4.6,5,8
P268,카페,서초동 1624-14,1.8,4,36
소울버킷,햄버거,서초동 1578-4,4.6,12,49
스타벅스 남부터미널점,커피전문점,서초동 1445-4,3.5,16,6
조선화로집 교대점,"육류,고기",서초동 1579-6,5.0,1,5
미토요,"돈까스,우동",서초동 1602-1,3.3,4,43
호주,일본식주점,서초동 1600-4,4.3,4,20
스타벅스 서울교대점,커피전문점,서초동 1623-1,2.6,13,9
더진미평냉,냉면,서초동 1623-3,4.5,14,11
타지 서초점,인도음식,서초동 1444-21,3.7,26,22
해담 서초본점,회,서초동 1578-5,1.9,13,4
KFC 서초동점,패스트푸드,서초동 1602-3,2.4,20,8
김봉남포장마차 남부터미널점,실내포장마차,서초동 1586-2,4.7,6,26
백년불고기물갈비 서초점,"불고기,두루치기",서초동 1601-2,4.6,5,26
롯데리아 남부터미널점,패스트푸드,서초동 1602-10,2.0,21,8
진미일식,일식,서초동 1443-27,5.0,3,12
오늘와인한잔 남부터미널역점,와인바,서초동 1446-11,4.0,2,17
신선설농탕 서초점,설렁탕,서초동 1443-8,3.4,15,6
에머이 남부터미널점,베트남음식,서초동 1445-4,2.9,16,185
찜통 남부터미널점,"육류,고기",서초동 1457-2,2.8,38,32
티안,카페,서초동 1629-20,4.3,3,26
스타벅스 서초동점,커피전문점,서초동 1439-14,4.0,8,1
BHC치킨 서초교대점,치킨,서초동 1627-5,4.3,4,2
예술상회,한식,서초동 1457-4,5.0,4,35
바나프레소 남부터미널점,카페,서초동 1603-15,2.8,4,10
오우치,"육류,고기",서초동 1458-4,5.0,7,20
북창동순두부 서초점,두부전문점,서초동 1443-11,2.4,5,14
예향,한식,서초동 1621-6,0.0,1,4
칭하이,중화요리,서초동 1443-25,2.3,9,25
엘마론,카페,서초동 1600-4,4.2,11,8
수미관,한정식,서초동 1427-5,4.3,3,21
동수원갈비 서초본점,갈비,서초동 1601-1,2.7,3,3
아이언쉐프,"스테이크,립",서초동 1624-4,4.7,7,28
부산아지매국밥 BC카드점,국밥,서초동 1458-3,2.9,9,12
