date,review,score
2020-07-06,8천원따리 계란말이 맛집입니다! 철분도 함유 되있고 무엇보다 수분 보충해줘서 몸에도 좋아요! ,5
2020-07-04,철분물란말이...,1
2020-07-03,솔직히 이정도로 줄서서 먹을집은 아님..,2
2020-06-30,계란말이 가격 실화인가요? 8000원 주고 물에 희석한 계란말이 먹을 바에 국밥 한 그릇 뚝딱하고 남는 돈으로 카페 가서 음료 하나 사 먹을 거 같아요 ㅋㅋ,1
2020-06-17,좋아요,4
2020-06-16,전설의 계란말이..,3
2020-06-11,전설의 물란말이,1
2020-06-08,철판 팍팍긁어 만들고 계란말이로 철판닦는 철분보충 물란말이,1
2020-05-20,물,1
2020-05-11,여기가 그 유명한 물란말이인가요?,1
2020-05-06,ㅋㅋㅋㅋㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋ 찌개랑 저 미친 ‘개’란말이랑 가격이 같다고? 진심 무슨생각인지 ㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅌㅋㅋ,1
2020-05-04,저딴 계란말이를 8천을 받아 처먹어???  걔란 자를때는  어디서 사왔는지 모르겠지만  지물포 가게에서 파는 긁게로  계란 자르던데  진심 미쳤냐???,1
2020-04-27,철분가득 물란말이 ~,1
2020-04-24,물란말이 사먹는 흑우없재?,3
2020-04-23,뮬란말쓰!,1
2020-04-22,물란말이 맛집 물란말이 두개사먹을돈이면 차라리  브랜드 치킨 한마리 사먹겠다,1
2020-04-21,여기가 바로 그 물란말이 8000원이군요,1
2020-04-19,별로예요,1
2020-04-16,어 일단 철분이많아서 계란말이에서 감칠맛이나서 좋았아요!,1
2020-04-14,계란으로 철판 닦는 곳. 닦은 계란 값 8000천원 받는 곳,1
2020-04-13,에라이! 이게 김치찌개? 살다살다 이렇게 멀건 김치찌개 처음이구만!!,1
2020-04-12,여기가 그 물란말이 8천원에 계란말이르 기름닦는다는그집?..,1
2020-02-12,여기가 그 유명하다는 8000원 계란말이 맛집? 예라이~,1
2020-01-17,돈이 아깝네요. 동네 김치찌개가 더 맛있네요,1
2020-01-13,항상 사람이 많아서 맛있을줄 알았는데 별로였어요..,2
2020-01-03,동네에서 가성비가 있을 뿐.... 맛이 특출나다고는 못 느낌,2
2019-12-26,별로예요,1
2019-12-06,찌게보다  국물에 가까운집.요즘 이 가격에 김치국물.....아쉽네요.오댕반찬하고 먹고 왔네요.,1
2019-10-26,쵝오 어릴적 좋아하던곳,5
2019-10-09,"주인분이 바뀌셨는지 다들 불친절하네요,, 불편해서 이제는 안갈듯 하네요",2
