,name,category,address,score,eval_cnt,review_cnt
0,프릳츠 양재점,카페,(지번) 서초동 1363-10,3.6,64건,리뷰 481
1,영동족발 본점,"족발,보쌈",(지번) 양재동 1-4,3.1,71건,리뷰 116
2,크라이치즈버거 양재역점,햄버거,(지번) 서초동 1358-8,4.2,63건,리뷰 153
3,황재벌,장어,(지번) 서초동 1360-47,3.5,93건,리뷰 142
4,라그릴리아 양재점,이탈리안,(지번) 양재동 11-149,3.1,44건,리뷰 64
5,진스시,"초밥,롤",(지번) 서초동 1357-60,3.4,9건,리뷰 103
6,쿠오레에스프레소,커피전문점,(지번) 서초동 1357-66,3.3,38건,리뷰 381
7,강촌원조쭈꾸미 본점,"해물,생선",(지번) 양재동 13-9,3.3,59건,리뷰 49
8,로스옥 양재점,한식,(지번) 도곡동 952-8,3.1,24건,리뷰 41
9,엘린포레,뷔페,(지번) 도곡동 953-1,3.3,10건,리뷰 125
10,교대이층집 양재점,"육류,고기",(지번) 양재동 13-21,1.0,1건,리뷰 31
11,갈비사랑,갈비,(지번) 양재동 14-3,2.3,27건,리뷰 22
12,산들해 양재동점,한정식,(지번) 양재동 24,3.3,111건,리뷰 32
13,옛날농장 양재점,갈비,(지번) 도곡동 954-17,2.9,16건,리뷰 45
14,오향절면 본가,국수,(지번) 도곡동 954-19,3.2,33건,리뷰 86
15,프릳츠 양재점,카페,(지번) 서초동 1363-10,3.6,64건,리뷰 481
16,영동족발 본점,"족발,보쌈",(지번) 양재동 1-4,3.1,71건,리뷰 116
17,크라이치즈버거 양재역점,햄버거,(지번) 서초동 1358-8,4.2,63건,리뷰 153
18,황재벌,장어,(지번) 서초동 1360-47,3.5,93건,리뷰 142
19,라그릴리아 양재점,이탈리안,(지번) 양재동 11-149,3.1,44건,리뷰 64
20,진스시,"초밥,롤",(지번) 서초동 1357-60,3.4,9건,리뷰 103
21,쿠오레에스프레소,커피전문점,(지번) 서초동 1357-66,3.3,38건,리뷰 381
22,강촌원조쭈꾸미 본점,"해물,생선",(지번) 양재동 13-9,3.3,59건,리뷰 49
23,로스옥 양재점,한식,(지번) 도곡동 952-8,3.1,24건,리뷰 41
24,엘린포레,뷔페,(지번) 도곡동 953-1,3.3,10건,리뷰 125
25,교대이층집 양재점,"육류,고기",(지번) 양재동 13-21,1.0,1건,리뷰 31
26,갈비사랑,갈비,(지번) 양재동 14-3,2.3,27건,리뷰 22
27,산들해 양재동점,한정식,(지번) 양재동 24,3.3,111건,리뷰 32
28,옛날농장 양재점,갈비,(지번) 도곡동 954-17,2.9,16건,리뷰 45
29,오향절면 본가,국수,(지번) 도곡동 954-19,3.2,33건,리뷰 86
30,작은공간,분식,(지번) 도곡동 950-5,3.7,67건,리뷰 144
31,양인환대,"스테이크,립",(지번) 도곡동 954-16,3.9,17건,리뷰 114
32,로마옥,이탈리안,(지번) 도곡동 948-13,3.3,13건,리뷰 53
33,국미당,분식,(지번) 도곡동 955-12,3.3,35건,리뷰 84
34,양재닭집,치킨,(지번) 양재동 1-7,3.1,157건,리뷰 93
35,커피앳웍스 양재역점,커피전문점,(지번) 서초동 1366-5,3.3,4건,리뷰 32
36,봉피양 양재점,냉면,(지번) 서초동 1357-33,1.9,15건,리뷰 26
37,국고집,"육류,고기",(지번) 도곡동 955-4,3.9,11건,리뷰 97
38,화포식당 강남1호점,"육류,고기",(지번) 도곡동 957-4,3.4,17건,리뷰 62
39,린참치,참치회,(지번) 서초동 1358-3,4.2,11건,리뷰 60
40,순남시래기 양재점,한정식,(지번) 서초동 1363-25,4.0,18건,리뷰 48
